GTRD peaks ID,UniProt ID,Cell Line,Treatment,Antibody,TFClass,Species,PubMed,GEO,ENCODE,Peak calls participated in analysis
PEAKS000471,GATD1_HUMAN,HeLa Kyoto cell line,,anti-GFP(ab290-050) GATAD1 tagged, 2.2.1.2.1,Homo sapiens,20850016,"GSM566155,GSM566161,GSE20303",,1000
PEAKS000481,KAT5_HUMAN,CD4+ T cell,,anti-Tip60 Ab, 2.7.3.0.5,Homo sapiens,19698979,"GSM393949,GSE15735",,1000
PEAKS000489,SOX2_HUMAN,H1 embryonic stem cells,,SOX2 , 4.1.1.2.2,Homo sapiens,19829295,"GSM456570,GSE18292",,1000
PEAKS000490,NANOG_HUMAN,H1 embryonic stem cells,,NANOG, 3.1.2.12.1,Homo sapiens,19829295,"GSE18292,GSM456571,GSM456572",,1000
PEAKS000502,PRD14_HUMAN,pluripotent and self-renewing cells,,custom made PRDM14, 2.3.3.0.35,Homo sapiens,20953172,"GSM563088,GSE22767",,1000
PEAKS000503,GCR_HUMAN,HeLa B2,DMSO,anti GR, 2.1.1.1.1,Homo sapiens,21750107,"GSM604648,GSE24518",,1000
PEAKS000507,GCR_HUMAN,"HeLa B2, GR KO",DMSO,anti GR, 2.1.1.1.1,Homo sapiens,21750107,"GSM604652,GSE24518",,1000
PEAKS000508,GCR_HUMAN,"HeLa B2, GR KO",TA+TNF?,anti GR, 2.1.1.1.1,Homo sapiens,21750107,"GSM604653,GSE24518",,1000
PEAKS000511,TF65_HUMAN,HeLa B2,DMSO,anti p65, 6.1.1.2.1,Homo sapiens,21750107,"GSM604656,GSE24518",,1000
PEAKS000512,TF65_HUMAN,HeLa B2,TA,anti p65, 6.1.1.2.1,Homo sapiens,21750107,"GSM604657,GSE24518",,1000
PEAKS000513,TF65_HUMAN,HeLa B2,TNF?,anti p65, 6.1.1.2.1,Homo sapiens,21750107,"GSM604658,GSE24518",,1000
PEAKS000514,TF65_HUMAN,HeLa B2,TA+TNF?,anti p65, 6.1.1.2.1,Homo sapiens,21750107,"GSM604659,GSE24518",,1000
PEAKS000515,TF65_HUMAN,"HeLa B2, p65 KO",DMSO,anti p65, 6.1.1.2.1,Homo sapiens,21750107,"GSM604660,GSE24518",,1000
PEAKS000516,TF65_HUMAN,"HeLa B2, p65 KO",TA+TNF?,anti p65, 6.1.1.2.1,Homo sapiens,21750107,"GSM604661,GSE24518",,1000
PEAKS000518,GCR_HUMAN,"HeLa B2, p65 KO",TA+TNF?,anti GR, 2.1.1.1.1,Homo sapiens,21750107,"GSM604663,GSE24518",,1000
PEAKS000519,TYY1_HUMAN,CD4+ T cells,,rabbit anti-YY1 polyclonal, 2.3.3.9.1,Homo sapiens,21173166,"GSM630810,GSE25674",,1000
PEAKS000532,ELK4_HUMAN,HEK293,,"rabbit anti-ELK4 (SantaCruz, catalog # sc13030-X)", 3.5.2.2.3,Homo sapiens,21343339,"GSM700360,GSE27929,GSM700361",,1000
PEAKS000533,E2F6_HUMAN,K562,,"rabbit anti-E2F6 (Santa Cruz Biotechnology, catalog# sc-22823x)", 3.3.2.1.6,Homo sapiens,21596310,"GSE28162,GSM701863,GSM701862",,1000
PEAKS000540,FLI1_HUMAN,EWS502,,HA, 3.5.2.1.5,Homo sapiens,,"GSM790207,GSE31838",,1000
